Token,POS
hulle,PDMP
verteenwoordig,VTHOG
inderdaad,BS
'n,LO
feesviering,NSE
van,SVS
die,LB
onblusbare,ASA
gees,NA
van,SVS
ons,PEMB
mense,NSM
",",ZM
en,KN
stel,VTHOG
'n,LO
uitdaging,NSE
aan,SVS
ons,PEMP
almal,PO
om,SVS
só,PB
op,UPW
te,UPI
tree,VTHOO
dat,KO
ons,PEMP
nie,BS
die,LB
verwagtinge,NSM
van,SVS
die,LB
mense,NSM
verraai,VTHOG
of,KN
teleurstel,VTHSG
nie,UPO
.,ZE
,
die,LB
hof,NSE
sal,VTUOM
'n,LO
dagvaarding,NSE
(,ZPL
'n,LO
brief,NSE
wat,PB
'n,LO
persoon,NSE
opdrag,NSE
gee,VTHOG
om,SVS
na,SVS
die,LB
hof,NSE
toe,SVS
te,UPI
gaan,VTHOO
),ZPR
op,SVS
die,LB
respondent,NSE
(,ZPL
die,LB
persoon,NSE
teen,SVS
wie,PB
die,LB
aansoek,NSE
om,SVS
onderhoud,NM
gebring,VVHOG
word,VTUOP
),ZPR
laat,VTUOA
beteken,VTHOO
om,SVS
op,SVS
'n,LO
sekere,ASA
dag,NSE
in,SVS
die,LB
hof,NSE
te,UPI
verskyn,VTHOO
ten,SVS
einde,NSE
die,LB
aangeleentheid,NSE
te,UPI
bespreek,VTHOG
.,ZE
,
die,LB
ander,ASA
afskrif,NSE
kan,VTUOM
'n,LO
fotostaat,NSE
wees,VTHOK
),ZPR
.,ZE
,
kommunikeer,VTHOO
doeltreffend,BS
deur,SVS
middel,NSE
van,SVS
visuele,ASA
",",ZM
simboliese,ASA
en,KN
/,RS
of,KN
taalvaardighede,NSM
in,SVS
verskillende,ASA
vorme,NSM
.,ZE
,
op,SVS
grond,NSE
van,SVS
hul,PDMB
afkeur,NA
in,SVS
die,LB
plaag,NSE
van,SVS
rassisme,NA
en,KN
die,LB
verwoestende,ASA
gevolge,NSM
wat,PB
dit,PDOENP
inhou,VTHSG
",",ZM
vertrou,VTHOG
ons,PEMP
dat,KO
die,LB
regerings,NSM
en,KN
mense,NSM
van,SVS
die,LB
wêreld,NSE
saam,UPW
met,SVS
ons,PEMP
sal,VTUOM
werk,VTHOO
om,SVS
te,UPI
verseker,VTHOG
dat,KO
die,LB
hersieningskonferensie,NSE
sy,PDHEB
doelwitte,NSM
bereik,VTHOG
.,ZE
,
terwyl,KO
die,LB
leerareas,NSM
die,LB
begrippe,NSM
",",ZM
vaardighede,NSM
en,KN
waardes,NSM
stipuleer,VTHOG
wat,PB
per,SVS
graad,NSE
bereik,VTHOG
moet,VTUOM
word,VTUOP
",",ZM
spesifiseer,VTHOG
leerprogramme,NSM
die,LB
omvang,NM
van,SVS
leer-,RWD
en,KN
assesseringsaktiwiteite,NSM
per,SVS
fase,NSE
.,ZE
,
indien,KO
die,LB
gebruiker,NSE
nie,BS
binne,SVS
'n,LO
redelike,ASA
tyd,NSE
reaksie,NSE
kry,VTHOG
nie,UPO
",",ZM
moet,VTUOM
die,LB
gebruiker,NSE
by,SVS
die,LB
gcis,RL
daaroor,PB
navraag,NSE
doen,VTHOG
.,ZE
,
in,SVS
hierdie,PA
konteks,NSE
alle,THAO
noodlydendheid,NA
en,KN
gebrek,NSE
aan,UPW
te,UPI
spreek,VTHOG
",",ZM
veral,BS
onder,SVS
die,LB
groot,ASA
getal,NSE
vroue,NSM
wat,PB
hierdeur,PB
geraak,VVHOG
word,VTUOP
,
let,VTHOO
asseblief,BS
daarop,PB
dat,KO
hierdie,PA
werf,NSE
skakels,NSM
kan,VTUOM
hê,VTHOG
met,SVS
ander,ASA
werwe,NSM
wat,PB
nie,BS
aan,SVS
hierdie,PA
privaatheidsverklaring,NSE
onderhewig,ASP
is,VTHOK
nie,UPO
.,ZE
,
nadat,KO
die,LB
meester,NSE
die,LB
eerste,TRAB
trusteerekening,NSE
van,SVS
die,LB
boedel,NSE
bekragtig,VTHOG
het,VUOT
mits,KO
,
ons,PEMP
betuig,VTHOG
weereens,BS
ons,PEMB
meegevoel,NA
aan,SVS
die,LB
tambo-gesin,NSE
.,ZE
,
taal,NSE
vorm,VTHOG
dus,BS
ons,PEMB
identiteit,NSE
en,KN
ons,PEMB
kennis,NM
.,ZE
,
lewer,VTHOG
kommentaar,NSE
op,SVS
elke,PO
leerarea,NSE
of,KN
leerprogram,NSE
",",ZM
spesifiek,BS
in,SVS
die,LB
geval,NSE
van,SVS
leerders,NSM
wat,PB
die,LB
vereistes,NSM
oortref,VTHOG
het,VUOT
of,KN
ondersteuning,NA
benodig,VTHOG
.,ZE
,
vanjaar,BS
sal,VUOT
die,LB
afrika,NEE
forum,NSE
vir,SVS
portuuroorsig,NSE
sy,PDHEB
ondersoek,NSE
na,SVS
ons,PEMB
land,NSE
afhandel,VTHSG
.,ZE
,
ons,PEMB
pogings,NSM
sal,VTUOM
ook,BS
ingelig,VVHOG
word,VTUOP
deur,SVS
die,LB
wete,NA
dat,KO
die,LB
maatreëls,NSM
om,SVS
die,LB
omgewing,NSE
te,UPI
beskerm,VTHOG
en,KN
om,SVS
die,LB
impak,NA
van,SVS
klimaatsverandering,NA
af,UPW
te,UPI
weer,VTHOG
ook,BS
kan,VTUOM
bydra,VTHOO
tot,SVS
werkskepping,NA
.,ZE
,
die,LB
naam,NSE
en,KN
registrasienommer,NSE
van,SVS
die,LB
produk,NSE
moet,VTUOM
gebruik,VTHOG
word,VTUOP
soos,UPV
wat,PB
dit,PDOENP
op,SVS
die,LB
registrasiesertifikaat,NSE
aangedui,VVHOG
word,VTUOP
.,ZE
,
maar,KN
ek,PEENP
het,VUOT
die,LB
geheim,NSE
ontdek,VTHOG
dat,KO
",",ZM
nadat,KO
jy,PTENP
'n,LO
groot,ASA
heuwel,NSE
oorkom,VTHOG
het,VUOT
",",ZM
vind,VTHOG
jy,PTENP
daar,UXD
is,VTHOK
nog,BS
soveel,THBO
ander,ASA
heuwels,NSM
om,SVS
te,UPI
klim,VTHOO
.,ZE
,
in,SVS
sommige,THAO
van,SVS
hierdie,PA
geriewe,NSM
is,VTHOK
die,LB
bestuur,NA
swak,ASP
en,KN
die,LB
gesindheid,NSE
van,SVS
personeel,NM
moet,VTUOM
verbeter,VTHOO
.,ZE
,
na,SVS
die,LB
hofverskyning,NSE
kan,VTUOM
die,LB
landdros,NSE
die,LB
beskermingsbevel,NSE
uitreik,VTHSG
.,ZE
,
daar,UXD
word,VTUOP
veronderstel,VTHOG
dat,KO
minder,AVA
tyd,NM
aan,SVS
die,LB
leer,NA
van,SVS
die,LB
tweede,TRAB
addisionele,ASA
taal,NSE
as,KO
aan,SVS
die,LB
huistaal,NSE
of,KN
eerste,TRAB
addisionele,ASA
taal,NSE
toegeken,VVHOG
sal,VTUOM
word,VTUOP
.,ZE
,
vanjaar,BS
vier,VTHOG
ons,PEMP
die,LB
10de,RS
herdenking,NSE
van,SVS
die,LB
instelling,NA
van,SVS
diplomatieke,ASA
betrekkinge,NSM
tussen,SVS
suid-afrika,NEE
en,KN
die,LB
republiek,NSE
van,SVS
china,NEE
.,ZE
,
konteks,NSE
-,ZM
die,LB
doel,NSE
",",ZM
onderwerp,NSE
en,KN
